RI0412RP                              2.00.00.076    CN_RI041                      06/02/20  15:54:16
CDAPI007A                             2.00.00.086    ri0412rp                      06/02/20  15:54:16
UT-TRFRRP                             2.00.00.008    cdapi007                      06/02/20  15:54:16
BTB901ZO                              2.00.00.005    ut-trfrr                      06/02/20  15:54:16
UT-VALIDA-FACELIFT                    3.00.00.001    btb901zo                      06/02/20  15:54:16
UT-TRFRRP                             2.00.00.008    cdapi007                      06/02/20  15:54:16
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:54:16
BTB920AA                              2.00.00.012    ri0412rp                      06/02/20  15:54:16
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:54:17
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:54:17
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:54:17
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:54:17
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  15:54:17
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  15:54:17
BODI453                               2.00.00.023    ri0412rp                      06/02/20  15:54:18
BTBSECURITY                           3.00.00.001    bodi453                       06/02/20  15:54:18
MEN901ZA                              2.00.00.009    btbsecur                      06/02/20  15:54:18
BTB918ZB                              2.00.00.002    bodi453                       06/02/20  15:54:18
UT-XMLPRS                             3.00.00.001    bodi453                       06/02/20  15:54:18
BODI453A                              2.00.00.019    ri0412rp                      06/02/20  15:54:19
BTB918ZB                              2.00.00.002    bodi453a                      06/02/20  15:54:19
api_controle_cta_ctbl                     prgint/utb/utb743za.py    1.00.00.009    06/02/20  15:54:19
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  15:54:19
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  15:54:22
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  15:54:23
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:23
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:23
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:23
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:23
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:23
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:23
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:23
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:24
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:24
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:24
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:24
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:24
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:24
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:24
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:25
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:25
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:25
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:25
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:25
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:26
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:26
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:26
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  15:54:26
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  15:54:26
